(5,5), (2,5), (2,2), (5,2)
(3,4), (2,5), (4,5), (3,6)
(0,5), (6,2), (5,4), (2,2)
(0,2), (1,2), (1,1), (1,0)
(1,4), (9,2), (3,9), (5,5)
(5,4), (2,6), (7,1), (1,3)
(4,7), (7,7), (7,4), (4,4)
(9,7), (8,4), (0,5), (4,4)
(9,1), (4,1), (9,6), (4,6)
(5,6), (5,2), (5,6), (5,3)
(6,7), (6,9), (4,7), (8,7)
(3,2), (3,2), (5,2), (3,4)
(9,6), (9,7), (3,9), (2,1)
(9,5), (9,8), (5,3), (4,0)
(5,1), (9,8), (5,8), (8,0)
(2,2), (2,2), (2,2), (2,2)
(1,5), (5,7), (2,8), (4,4)
(3,3), (4,4), (4,5), (9,2)
(5,4), (3,8), (6,7), (2,5)
(5,3), (5,9), (2,6), (8,6)
